metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
group_duration,trend,7147.504346374999,0,884.54255,48031.0929,40967.639480000005,45897.478274999994,47066.739591000005,,,,
http_500_count,counter,,,,,,,,0,0,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_req_duration{expected_response:true},trend,2442.1514489999954,29.0132,1107.6159,9650.7726,7872.55566,8289.766705,8897.690086999999,,,,
iteration_duration,trend,76568.520927,72430.5299,76575.89194999999,78575.5313,78463.0339,78525.566655,78571.938689,,,,
iterations,counter,,,,,,,,100,1.27226334744932,,
http_req_failed,rate,,,,,,,,,0,0,800
vus_max,gauge,,100,,100,,,,,,,
http_reqs,counter,,,,,,,,800,10.17810677959456,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
teacher_workflow_success,rate,,,,,,,,,0.54,54,46
vus,gauge,,23,,100,,,,,,,
login_duration,trend,1375.098708,573.9915,1443.626,2246.199,2042.84044,2088.377975,2242.604013,,,,
http_req_connecting,trend,0.35677862499999996,0,0,6.2491,1.7545200000000014,3.2207,4.3703,,,,
http_req_receiving,trend,0.8907886249999994,0,0.5283,12.1276,2.61383,3.4238799999999996,6.311962999999997,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,100
http_req_waiting,trend,2441.146683249999,29.0132,1106.34515,9650.7726,7871.25877,8289.362195,8897.03084,,,,
checks,rate,,,,,,,,,0.9829629629629629,2654,46
workflow_duration,trend,76567.94,72430,76575,78576,78463.2,78525,78570.06,,,,
http_req_blocked,trend,1.0744296250000003,0,0,30.3838,2.042950000000003,4.3703,25.421011999999983,,,,
partial_attendance_save,rate,,,,,,,,,0,0,100
data_sent,counter,,,,,,,,542627,6903.644434363821,,
data_received,counter,,,,,,,,5538171,70460.11975206748,,
http_req_duration,trend,2442.1514489999954,29.0132,1107.6159,9650.7726,7872.55566,8289.766705,8897.690086999999,,,,
http_req_sending,trend,0.11397712499999998,0,0,4.4039,0.3707100000000001,0.7517,2.230139999999994,,,,
missing_attendance,rate,,,,,,,,,0,0,100
race_condition_detected,rate,,,,,,,,,0,0,0
