metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
data_received,counter,,,,,,,,2396432,19408.842352232943,,
login_duration,trend,1171.477334,698.3079,1174.2543999999998,1730.8954,1348.85516,1362.395,1725.741825,,,,
teacher_workflow_success,rate,,,,,,,,,1,50,0
workflow_duration,trend,122145.4,120122,122880,123455,123406.5,123432.8,123452.06,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_req_failed,rate,,,,,,,,,0,0,400
group_duration,trend,10619.122068749999,0,143.49765000000002,80877.2666,79102.67354,80143.258715,80250.81589499999,,,,
http_req_duration,trend,1013.0490977499995,28.3911,213.95929999999998,5698.0376,4102.283270000001,4781.71214,5031.657515999999,,,,
vus,gauge,,28,,50,,,,,,,
iterations,counter,,,,,,,,50,0.40495291233452363,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,50
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
http_req_duration{expected_response:true},trend,1013.0490977499995,28.3911,213.95929999999998,5698.0376,4102.283270000001,4781.71214,5031.657515999999,,,,
http_req_connecting,trend,0.4785305,0,0,4.2368,2.0218,2.571299999999999,3.297306,,,,
missing_attendance,rate,,,,,,,,,0,0,50
partial_attendance_save,rate,,,,,,,,,0,0,50
http_500_count,counter,,,,,,,,0,0,,
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_blocked,trend,1.7825817499999999,0,0,19.5605,10.3398,13.3318,15.928483999999989,,,,
checks,rate,,,,,,,,,1,1350,0
http_req_sending,trend,0.14939725000000004,0,0,6.4227,0.51144,0.683754999999997,3.4109,,,,
http_req_waiting,trend,1011.8267789999994,26.1827,213.67759999999998,5690.9464,4101.999420000001,4781.58275,5031.657515999999,,,,
data_sent,counter,,,,,,,,271334,2197.5498703075127,,
iteration_duration,trend,122147.40930399997,120123.4266,122881.84835,123457.0861,123406.12196,123434.56684,123453.92756,,,,
vus_max,gauge,,50,,50,,,,,,,
http_req_receiving,trend,1.0729214999999999,0,0.5377,34.0918,2.4688300000000005,3.459114999999989,8.586886999999992,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_reqs,counter,,,,,,,,400,3.239623298676189,,
