metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
checks,rate,,,,,,,,,0.8518518518518519,598,104
http_req_failed,rate,,,,,,,,,0.125,26,182
http_req_duration{expected_response:true},trend,173.14472637362638,42.9906,70.19305,3925.2859,234.11396000000002,272.1426099999998,2163.9096429999977,,,,
data_sent,counter,,,,,,,,140662,5419.013605995811,,
iteration_duration,trend,2632.8386961538463,2066.1082,2126.7838,7566.192,3732.25475,6068.2613,7267.2327000000005,,,,
missing_attendance,rate,,,,,,,,,1,26,0
iterations,counter,,,,,,,,26,1.0016518587528336,,
vus,gauge,,0,,3,,,,,,,
http_req_receiving,trend,1.9529221153846144,0,0.5808,15.7587,5.909550000000001,8.997149999999984,13.690212000000002,,,,
http_reqs,counter,,,,,,,,208,8.013214870022669,,
data_received,counter,,,,,,,,861732,33198.28690564603,,
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_duration,trend,152.18214855769233,0.5762,65.04825,3925.2859,230.77631000000002,253.74794499999996,1939.109226000004,,,,
vus_max,gauge,,3,,3,,,,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
login_duration,trend,283.6103423076923,113.7611,141.6642,1401.0315,704.75135,1266.5993250000001,1378.2711,,,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
workflow_duration,trend,2632.730769230769,2066,2126.5,7566,3732,6068.75,7267.25,,,,
http_req_sending,trend,0.010020673076923076,0,0,0.6172,0,0,0.5098050000000007,,,,
partial_attendance_save,rate,,,,,,,,,1,26,0
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_req_connecting,trend,0.0206125,0,0,2.0117,0,0,0.820911000000006,,,,
group_duration,trend,117.95588173076929,0,60.510949999999994,3925.7931,221.88578,239.24594999999997,1878.81779100001,,,,
teacher_workflow_success,rate,,,,,,,,,0,0,26
duplicate_attendance_detected,rate,,,,,,,,,0,0,26
http_req_waiting,trend,150.21920576923074,0.5762,62.88755,3912.0685,229.32549000000003,252.82393999999994,1938.0994730000039,,,,
http_500_count,counter,,,,,,,,0,0,,
http_req_blocked,trend,0.02353076923076923,0,0,2.0117,0,0,0.8634010000000019,,,,
