metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_500_count,counter,,,,,,,,0,0,,
http_reqs,counter,,,,,,,,310,2.6800193900959015,,
iterations,counter,,,,,,,,50,0.43226119195095186,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
vus_max,gauge,,50,,50,,,,,,,
http_req_sending,trend,0.10361806451612901,0,0,1.7698,0,1.1504500000000029,1.7698,,,,
login_duration,trend,402.324498,211.8022,349.808,639.1702,616.21542,627.992765,635.789298,,,,
race_condition_detected,rate,,,,,,,,,0,0,0
workflow_duration,trend,68634.46,37155,37592.5,115659,115571.3,115629.65,115651.65,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_req_duration,trend,227.82832193548384,0.3133,96.5714,892.9091,734.79722,814.919115,855.5943650000002,,,,
group_duration,trend,4027.157864499999,0,8.13005,78066.0402,802.84619,4751.190699996492,78051.253402,,,,
missing_attendance,rate,,,,,,,,,0,0,20
duplicate_attendance_detected,rate,,,,,,,,,0,0,20
checks,rate,,,,,,,,,0.96875,930,30
http_req_duration{expected_response:true},trend,233.67069642857138,0.3133,54.982,892.9091,754.85727,826.2060050000001,859.1227639999997,,,,
http_req_blocked,trend,1.0212177419354838,0,0,8.9208,5.667400000000005,6.6705,8.823186000000026,,,,
data_received,counter,,,,,,,,1533810,13260.13077652579,,
http_req_receiving,trend,0.8472632258064519,0,0.33445,8.0701,2.6099600000000005,3.924585000000001,6.850515000000018,,,,
http_req_waiting,trend,226.87744064516144,0.3133,96.02805,892.0875,733.10153,814.3236850000001,855.5943650000002,,,,
vus,gauge,,3,,50,,,,,,,
iteration_duration,trend,68635.76013000001,37155.9373,37592.75335,115659.0364,115580.5492,115629.42612,115652.034006,,,,
teacher_workflow_success,rate,,,,,,,,,0.4,20,30
data_sent,counter,,,,,,,,187572,1621.601925932479,,
partial_attendance_save,rate,,,,,,,,,0,0,20
http_req_connecting,trend,0.24579064516129032,0,0,2.0154,1.0866000000000002,1.4535,1.5074,,,,
http_req_failed,rate,,,,,,,,,0.0967741935483871,30,280
