metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
checks,rate,,,,,,,,,0.013490552966827824,18500,1352830
vus,gauge,,0,,500,,,,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
workflow_duration,trend,18681.61894736842,2116,19253.5,71947,49996.3,53069.049999999996,59555.84,,,,
http_req_failed,rate,,,,,,,,,0.9886481375668025,676525,7768
http_req_duration{expected_response:true},trend,3208.0266852342947,0.8828,153.7908,27636.0158,18537.041520000002,20880.397684999996,24358.892554999995,,,,
http_req_receiving,trend,0.3061106214735579,0,0,172.2729,0.8399,1.1121,1.7972079999999957,,,,
race_condition_detected,rate,,,,,,,,,0,0,106
duplicate_attendance_detected,rate,,,,,,,,,0,0,0
iteration_duration,trend,271.39027383017077,0,184.1909,71949.7841,487.6062799999999,552.2491399999997,791.0486560000007,,,,
http_req_waiting,trend,265.9218849321843,0,182.6141,30001.5734,487.71924,554.4678400000001,820.0240839999976,,,,
iterations,counter,,,,,,,,678285,565.2302268529534,,
auth_failures,counter,,,,,,,,676305,563.5802480841927,,
http_429_count,counter,,,,,,,,0,0,,
http_req_duration,trend,266.28142827224696,0,183.002,30001.5734,488.10536,554.8290000000001,820.3069079999984,,,,
login_duration,trend,259.6240536386634,0,183.7184,26519.261,487.05645999999996,551.76128,786.9528320000001,,,,
http_reqs,counter,,,,,,,,684293,570.2368290967485,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
group_duration,trend,949.4302099956823,0,43.1057,30005.649,2471.5852700000014,6082.272504999998,16813.412458999996,,,,
data_sent,counter,,,,,,,,148129069,123439.30246782221,,
http_500_count,counter,,,,,,,,0,0,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,236
data_received,counter,,,,,,,,850145011,708445.0598574885,,
vus_max,gauge,,121,,500,,,,,,,
http_req_blocked,trend,0.016871470115871364,0,0,120.0141,0,0,0.5909,,,,
http_req_connecting,trend,0.006333160356747775,0,0,120.0141,0,0,0,,,,
http_req_sending,trend,0.0534327185869209,0,0,63.1777,0,0.5908,0.7375,,,,
