metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
workflow_duration,trend,5864,4224,6034.5,6739,6568.3,6652.55,6735.04,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_req_waiting,trend,703.843441009463,0.8385,558.9916000000001,2347.6036,1674.9843100000003,2145.36443,2304.657273,,,,
http_reqs,counter,,,,,,,,634,93.63441770801111,,
http_req_blocked,trend,0.8422061514195582,0,0,23.9502,2.02233,3.5463,21.889,,,,
data_sent,counter,,,,,,,,368534,54428.180592435594,,
missing_attendance,rate,,,,,,,,,0,0,38
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
checks,rate,,,,,,,,,0.9897645854657113,1934,20
http_req_receiving,trend,1.1375296529968448,0,0.55685,10.4474,3.066510000000001,4.437845,6.395111999999991,,,,
http_req_sending,trend,0.10231545741324923,0,0,4.4001,0,0.5632000000000004,2.0396,,,,
teacher_workflow_success,rate,,,,,,,,,0.6333333333333333,38,22
http_req_failed,rate,,,,,,,,,0.031545741324921134,20,614
vus,gauge,,38,,100,,,,,,,
group_duration,trend,512.9595807575758,0,414.5783,2349.3116,1027.36496,2105.954904999998,2304.384369,,,,
http_500_count,counter,,,,,,,,0,0,,
http_req_connecting,trend,0.3039796529968458,0,0,7.5857,1.6962100000000113,2.0612,3.6081409999999963,,,,
iteration_duration,trend,5864.919044,4224.4187,6034.095600000001,6763.3698,6568.18518,6653.073625,6735.566244,,,,
vus_max,gauge,,100,,100,,,,,,,
http_429_count,counter,,,,,,,,0,0,,
partial_attendance_save,rate,,,,,,,,,0,0,38
login_duration,trend,1088.175564,508.135,1091.4767000000002,1695.3484,1640.7374000000002,1669.677655,1688.949634,,,,
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_duration{expected_response:true},trend,705.2180771986965,0.9285,548.9824,2348.5769,1687.1836700000003,2147.88506,2306.87016,,,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
duplicate_attendance_detected,rate,,,,,,,,,0,0,38
iterations,counter,,,,,,,,100,14.768835600632668,,
http_req_duration,trend,705.0832861198733,0.9285,559.7244000000001,2348.5769,1676.2732600000002,2145.36443,2305.3045599999996,,,,
data_received,counter,,,,,,,,3874525,572222.2275554129,,
