metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_req_waiting,trend,642.3144024096385,4.738,276.4664,2306.8238,1860.24222,1880.7107600000002,2305.679244,,,,
group_duration,trend,184.46909500000004,5.3877,89.43305000000001,861.8524,438.24064,631.9800399999998,809.5051569999999,,,,
data_sent,counter,,,,,,,,44266,10171.647294901575,,
http_req_connecting,trend,0.958809638554217,0,0,7.2184,5.4585,5.4585,7.2184,,,,
vus,gauge,,8,,20,,,,,,,
http_reqs,counter,,,,,,,,83,19.07212590875233,,
checks,rate,,,,,,,,,1,211,0
http_req_duration,trend,644.5756036144577,4.738,282.2098,2313.2052,1861.14194,1881.62417,2306.827896,,,,
vus_max,gauge,,20,,20,,,,,,,
http_req_duration{expected_response:true},trend,644.5756036144577,4.738,282.2098,2313.2052,1861.14194,1881.62417,2306.827896,,,,
data_received,counter,,,,,,,,476741,109547.76358872886,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,4
http_req_receiving,trend,2.1835168674698795,0,1.439,9.7719,6.244579999999999,6.6633,9.138613999999993,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,4
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
workflow_duration,trend,4144.625,3995,4104.5,4352,4291.8,4321.9,4345.98,,,,
http_req_blocked,trend,1.4615722891566267,0,0,7.2184,7.2184,7.2184,7.2184,,,,
http_req_sending,trend,0.07768433734939759,0,0,1.7599,0,0.5021099999999952,1.7599,,,,
http_500_count,counter,,,,,,,,0,0,,
iteration_duration,trend,3355.1603599999994,2418.9836,3123.7549,4351.9008,4258.52014,4269.92093,4335.504826,,,,
login_duration,trend,1927.4411599999996,1749.7052,1855.5815499999999,2313.2052,2296.03317,2305.81686,2311.727532,,,,
race_condition_detected,rate,,,,,,,,,0,0,4
http_req_failed,rate,,,,,,,,,0,0,83
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
iterations,counter,,,,,,,,20,4.595692990060803,,
http_429_count,counter,,,,,,,,0,0,,
