metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
data_received,counter,,,,,,,,573406031,495385.7576762542,,
auth_failures,counter,,,,,,,,160913,139.01843391137805,,
http_req_failed,rate,,,,,,,,,0.7618632503004257,187026,58459
login_duration,trend,22.51773155343372,0,3.3089,315889.4142,19.47027000000003,40.07906,88.09935200000001,,,,
http_reqs,counter,,,,,,,,245485,212.08317692625604,,
http_req_waiting,trend,55.121124138746666,0,4.0422,316770.2088,104.10842000000001,160.75133999999989,349.58805200000006,,,,
http_req_duration,trend,57.093811371368325,0,4.3442,316770.2088,104.8996,161.53708,350.49134000000004,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_req_sending,trend,0.31898559138032884,0,0,6097.0478,0,0,0.6464160000000003,,,,
http_429_count,counter,,,,,,,,24522,21.185423405037582,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,3245
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
http_req_connecting,trend,0.006507699044748151,0,0,119.7062,0,0,0,,,,
checks,rate,,,,,,,,,0.33891963464808433,190948,372454
workflow_duration,trend,2966.9579897157273,1310,1694,428991,2536.3999999999996,2768.699999999999,3641.9400000000005,,,,
iterations,counter,,,,,,,,202472,174.9227243970626,,
http_req_blocked,trend,0.091261481556918,0,0,2148.6928,0,0,0,,,,
http_req_duration{expected_response:true},trend,114.78782472160081,0.5084,85.5029,3999.0095,232.42728000000034,318.16212,553.6525519999997,,,,
http_req_receiving,trend,1.6537016412408085,0,0,314676.4161,0.9907,1.6278799999999987,3.5276240000000048,,,,
http_500_count,counter,,,,,,,,1,0.0008639353806801069,,
group_duration,trend,133.31889550790436,0,46.9722,110827.1282,239.98508000000018,361.99237999999974,675.0794999999997,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,339
race_condition_detected,rate,,,,,,,,,0,0,0
vus_max,gauge,,52,,52,,,,,,,
iteration_duration,trend,240.4897140414529,0,4.23695,428992.4268,290.95159,1317.66039,2274.281387,,,,
data_sent,counter,,,,,,,,82105112,70933.51119150281,,
vus,gauge,,0,,52,,,,,,,
