metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
http_req_waiting,trend,762.5921776250017,0.8233,554.3235500000001,2418.0666,1977.59281,2073.57531,2318.8491879999997,,,,
http_req_blocked,trend,0.21807412499999998,0,0,6.381,0,2.01042,4.1931,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
http_429_count,counter,,,,,,,,0,0,,
http_req_receiving,trend,1.1179528749999998,0,0.6044,8.4459,3.2644100000000003,4.341544999999997,7.028771,,,,
workflow_duration,trend,7520.85,7126,7526.5,7848,7752.1,7775.1,7837.11,,,,
teacher_workflow_success,rate,,,,,,,,,1,100,0
http_req_connecting,trend,0.09486837499999995,0,0,2.1879,0,0,2.0528,,,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
data_received,counter,,,,,,,,4795826,610208.313158257,,
data_sent,counter,,,,,,,,543282,69125.77578695395,,
http_req_duration{name:POST /attendance/bulk},trend,1425.492637,1096.9393,1349.5122000000001,1979.9285,1793.524460000001,1916.62718,1978.437758,,,,
missing_attendance,rate,,,,,,,,,0,0,100
http_req_duration{expected_response:true},trend,763.7501957500021,7.8952,555.75915,2418.0666,1978.05604,2075.185165,2318.873939,,,,
vus_max,gauge,,100,,100,,,,,,,
http_reqs,counter,,,,,,,,800,101.78990032720236,,
http_500_count,counter,,,,,,,,0,0,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
checks,rate,,,,,,,,,1,2700,0
vus,gauge,,74,,100,,,,,,,
http_req_duration{name:GET /teacher-workspace/me},trend,2071.291433000001,1800.9358,2057.83245,2418.0666,2288.95725,2362.64482,2405.437962,,,,
group_duration,trend,655.9348422500002,0,425.6277,2419.6402,1978.05604,2076.1890599999997,2318.8793969999997,,,,
http_req_duration{name:GET /students (roster)},trend,499.828362,160.0762,524.37375,715.3451,694.28074,710.02715,714.84416,,,,
iteration_duration,trend,7520.955204000002,7126.4956,7526.83855,7848.408,7751.94791,7774.95034,7838.55948,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,100
http_req_failed,rate,,,,,,,,,0,0,800
http_req_duration{name:POST /auth/login},trend,868.2297759999998,320.1312,833.02665,1239.279,1213.61811,1227.218345,1234.941117,,,,
http_req_sending,trend,0.04006525,0,0,2.0528,0,0,2.0101,,,,
http_req_duration,trend,763.7501957500021,7.8952,555.75915,2418.0666,1978.05604,2075.185165,2318.873939,,,,
race_condition_detected,rate,,,,,,,,,0,0,0
partial_attendance_save,rate,,,,,,,,,0,0,100
iterations,counter,,,,,,,,100,12.723737540900295,,
login_duration,trend,868.2297759999998,320.1312,833.02665,1239.279,1213.61811,1227.218345,1234.941117,,,,
