metric,type,avg,min,med,max,p(90),p(95),p(99),count,rate,passes,fails
data_sent,counter,,,,,,,,72015856,313102.1454628313,,
db_write_inconsistency_detected,rate,,,,,,,,,0,0,0
http_req_connecting,trend,0.00032716372176114624,0,0,5.5343,0,0,0,,,,
duplicate_fee_payment_detected,rate,,,,,,,,,0,0,0
http_429_count,counter,,,,,,,,0,0,,
http_req_sending,trend,0.03354398192240129,0,0,17.2689,0,0.5212,0.6479,,,,
http_req_waiting,trend,31.513458511437463,0,27.404049999999998,379.7306,50.30753,61.297,90.5288,,,,
checks,rate,,,,,,,,,0,0,676196
data_received,counter,,,,,,,,408193004,1774693.9689964678,,
iterations,counter,,,,,,,,338098,1469.9430799891115,,
login_duration,trend,31.67613785559202,0,27.5354,380.4473,50.54255,61.598674999999915,90.75275699999995,,,,
vus_max,gauge,,53,,53,,,,,,,
http_req_failed,rate,,,,,,,,,1,338098,0
http_reqs,counter,,,,,,,,338098,1469.9430799891115,,
http_req_receiving,trend,0.1291353622322521,0,0,15.402,0.5776,0.6234,1.045505999999994,,,,
http_req_duration,trend,31.67613785559202,0,27.5354,380.4473,50.54255,61.598674999999915,90.75275699999995,,,,
http_req_tls_handshaking,trend,0,0,0,0,0,0,0,,,,
duplicate_attendance_detected,rate,,,,,,,,,0,0,0
race_condition_detected,rate,,,,,,,,,0,0,0
http_req_blocked,trend,0.006565866109826133,0,0,15.402,0,0,0.3203,,,,
vus,gauge,,0,,53,,,,,,,
iteration_duration,trend,31.97089458588842,0,27.8101,385.5374,50.90526,62.0225,91.42552699999936,,,,
http_500_count,counter,,,,,,,,0,0,,
auth_failures,counter,,,,,,,,338098,1469.9430799891115,,
